sp,code6,common,scientific
ALFL,aldfly,Alder Flycatcher,Empidonax alnorum
AMBI,amebit,American Bittern,Botaurus lentiginosus
AMCR,amecro,American Crow,Corvus brachyrhynchos
AMGO,amegfi,American Goldfinch,Spinus tristis
AMRE,amered,American Redstart,Setophaga ruticilla
AMRO,amerob,American Robin,Turdus migratorius
BAWW,bawwar,Black-and-white Warbler,Mniotilta varia
BBCU,bkbcuc,Black-billed Cuckoo,Coccyzus erythropthalmus
BCCH,bkcchi,Black-capped Chickadee,Poecile atricapillus
BTBW,btbwar,Black-throated Blue Warbler,Setophaga caerulescens
BTNW,btnwar,Black-throated Green Warbler,Setophaga virens
BLBW,bkbwar,Blackburnian Warbler,Setophaga fusca
BHVI,buhvir,Blue-headed Vireo,Vireo solitarius
BLJA,blujay,Blue Jay,Cyanocitta cristata
BWHA,brwhaw,Broad-winged Hawk,Buteo platypterus
BHCO,bnhcow,Brown-headed Cowbird,Molothrus ater
BRCR,brncre,Brown Creeper,Certhia americana
CAJA,gryjay,Canada Jay,Perisoreus canadensis
CAWA,canwar,Canada Warbler,Cardellina canadensis
CMWA,camwar,Cape May Warbler,Setophaga tigrina
CEDW,cedwax,Cedar Waxwing,Bombycilla cedrorum
CSWA,chswar,Chestnut-sided Warbler,Setophaga pensylvanica
CHSP,chispa,Chipping Sparrow,Spizella passerina
COLO,comloo,Common Loon,Gavia immer
CORA,comrav,Common Raven,Corvus corax
COYE,comyel,Common Yellowthroat,Geothlypis trichas
CONW,conwar,Connecticut Warbler,Oporornis agilis
DEJU,daejun,Dark-eyed Junco,Junco hyemalis
DOWO,dowwoo,Downy Woodpecker,Dryobates pubescens
EAKI,easkin,Eastern Kingbird,Tyrannus tyrannus
EATO,eastow,Eastern Towhee,Pipilo erythrophthalmus
EAWP,eawpew,Eastern Wood-Pewee,Contopus virens
EVGR,evegro,Evening Grosbeak,Coccothraustes vespertinus
GCKI,gockin,Golden-crowned Kinglet,Regulus satrapa
GWWA,gowwar,Golden-winged Warbler,Vermivora chrysoptera
GRCA,grycat,Gray Catbird,Dumetella carolinensis
GCFL,grcfly,Great Crested Flycatcher,Myiarchus crinitus
HAWO,haiwoo,Hairy Woodpecker,Dryobates villosus
HETH,herthr,Hermit Thrush,Catharus guttatus
INBU,indbun,Indigo Bunting,Passerina cyanea
LEFL,leafly,Least Flycatcher,Empidonax minimus
LISP,linspa,Lincoln's Sparrow,Melospiza lincolnii
MAWA,magwar,Magnolia Warbler,Setophaga magnolia
MODO,moudov,Mourning Dove,Zenaida macroura
NAWA,naswar,Nashville Warbler,Leiothlypis ruficapilla
NOFL,norfli,Northern Flicker,Colaptes auratus
NOPA,norpar,Northern Parula,Setophaga americana
NOWA,norwat,Northern Waterthrush,Parkesia noveboracensis
OSFL,olsfly,Olive-sided Flycatcher,Contopus cooperi
OVEN,ovenbi,Ovenbird,Seiurus aurocapilla
PAWA,palwar,Palm Warbler,Setophaga palmarum
PIWO,pilwoo,Pileated Woodpecker,Dryocopus pileatus
PIWA,pinwar,Pine Warbler,Setophaga pinus
PUFI,purfin,Purple Finch,Haemorhous purpureus
RBNU,rebnut,Red-breasted Nuthatch,Sitta canadensis
REVI,reevir,Red-eyed Vireo,Vireo olivaceus
RWBL,rewbla,Red-winged Blackbird,Agelaius phoeniceus
RBGR,robgro,Rose-breasted Grosbeak,Pheucticus ludovicianus
RCKI,ruckin,Ruby-crowned Kinglet,Corthylio calendula
RTHU,rthhum,Ruby-throated Hummingbird,Archilochus colubris
RUGR,rufgro,Ruffed Grouse,Bonasa umbellus
SCTA,scatan,Scarlet Tanager,Piranga olivacea
SOSP,sonspa,Song Sparrow,Melospiza melodia
SWTH,swathr,Swainson's Thrush,Catharus ustulatus
SWSP,swaspa,Swamp Sparrow,Melospiza georgiana
TEWA,tenwar,Tennessee Warbler,Leiothlypis peregrina
VEER,veery_,Veery,Catharus fuscescens
WBNU,whbnut,White-breasted Nuthatch,Sitta carolinensis
WTSP,whtspa,White-throated Sparrow,Zonotrichia albicollis
WISN,wilsni,Wilson's Snipe,Gallinago delicata
WIWR,winwre,Winter Wren,Troglodytes hiemalis
WOTH,woothr,Wood Thrush,Hylocichla mustelina
YBFL,yebfly,Yellow-bellied Flycatcher,Empidonax flaviventris
YBSA,yebsap,Yellow-bellied Sapsucker,Sphyrapicus varius
YRWA,yerwar,Yellow-rumped Warbler,Setophaga coronata
YTVI,yetvir,Yellow-throated Vireo,Vireo flavifrons
YEWA,yelwar,Yellow Warbler,Setophaga petechia
BBWA,babwar,Bay-breasted Warbler,Setophaga castanea
BAOR,balori,Baltimore Oriole,Icterus galbula
BBWO,bkbwoo,Black-backed Woodpecker,Picoides arcticus
BOCH,borchi,Boreal Chickadee,Poecile hudsonicus
BRTH,brnthr,Brown Thrasher,Toxostoma rufum
CCSP,clcspa,Clay-colored Sparrow,Spizella pallida
COGR,comgra,Common Grackle,Quiscalus quiscula
EABL,easblu,Eastern Bluebird,Sialia sialis
EAPH,easpho,Eastern Phoebe,Sayornis phoebe
HOWR,houwre,House Wren,Troglodytes aedon
MOWA,mouwar,Mourning Warbler,Geothlypis philadelphia
PISI,pinsis,Pine Siskin,Spinus pinus
RBWO,rebwoo,Red-bellied Woodpecker,Melanerpes carolinus
RECR,redcro,Red Crossbill,Loxia curvirostra
SEWR,sedwre,Sedge Wren,Cistothorus stellaris
SPGR,sprgro,Spruce Grouse,Canachites canadensis
TRES,treswa,Tree Swallow,Tachycineta bicolor
WAVI,warvir,Warbling Vireo,Vireo gilvus
WWCR,whwcro,White-winged Crossbill,Loxia leucoptera
WIWA,wlswar,Wilson's Warbler,Cardellina pusilla
YBCU,yebcuc,Yellow-billed Cuckoo,Coccyzus americanus
BWWA,buwwar,Blue-winged Warbler,Vermivora cyanoptera
