xcoord,ycoord
382119,5221359
382098.8,5221157
382064.8,5220962
382619.8216,5220547.482
382648.6,5220357
382807.3,5220416
437732.7,5209728
437741.1,5209985
437844.7,5210143
435099.1,5209519
435156.2,5209641
435000.4,5209775
434885.2,5210164
434876.2,5210344
434979.1,5210219
546280.8,5333080
546475.1,5333027
548326,5330649
547937.7,5331062
547846.5,5331277
547780.6,5331464
546913.3,5332298
547151.2,5332386
547113.9,5332169
544726.3,5333470
544470.6,5333405
544283.3,5333435
546049.2,5323709
545852.9828,5323702.341
545072.9,5323186
547699.6,5324321
547544.4,5324428
547360.5,5324443
547213.1,5324482
547081.7719,5324559.004
546947.8,5324624
547904.1,5324086
547782.1,5324099
547644.8,5324033
541869.1,5344240
541690,5344267
541517.5,5344223
540985.3,5344198
540924.2,5344382
540858.1,5344548
540728.4,5344799
540841.3,5344734
540723,5344893
540576.4103,5344790.468
540558.4,5344629
540394.5,5344670
503116.5,5343068
503196.2,5342944
503290,5343234
503800.5,5343421
503639.5,5343513
503612.8,5343639
504490.6,5343556
504561.3,5343789
504352.7,5343733
503851.5,5343947
503716.3,5343772
503513.9,5343830
575119.2,5328441
575162.9,5328216
575261.2,5327939
575197.1,5327680
575052.4,5327624
575209.7,5327511
575052.9,5327278
574588.8,5327978
574584.8,5327798
574667,5327553
574793.9,5327356
574474.1,5327063
573619.3,5326994
573638.2,5327166
573620.6,5327319
605233,5284520
605294,5284542
605439,5284524
605498,5284699
607101.3,5284750
606886.2,5284736
606893.7,5284898
607634.8,5284723
607834.4,5284766
608027.8,5284827
603382,5286489
603375,5286680
603494,5286825
604020,5287508
604173,5287595
604480,5287662
604578,5287940
604741,5287932
604902,5287933
605079,5287999
605164,5288150
605279,5288264
598587,5242211
598534,5241993
598820,5241941
599066,5242249
599237,5242431
599384,5242621
599423,5242900
599326,5243140
599624,5243046
629049.7,5289345
628939.1,5289217
628818.2,5289098
629820.8,5289548
629661.3,5289644
629718.9,5289841
629891,5289808
629981.9,5289645
630008.9,5289516
643801,5268888
643476,5268801
643153,5268912
642899,5269142
642571,5269183
642194,5269140
642067,5269426
642392,5269433
642614,5269575
642990,5269504
643258,5269397
643620,5269343
603468.4,5312111
603586.3,5311956
603440.6,5311900
600976.8,5311915
600825.6,5311878
600666,5311886
599723,5311173
599563.6,5311020
599337,5310938
599106.3,5310864
598939.6,5310793
598771.4,5310717
656090.5,5290219
656246.8,5290273
656217.8,5290122
654957.4,5289991
654946.9,5290112
655093.7,5289982
654993.9,5289695
655105.1,5289433
655026,5289141
654987.3,5289008
654971,5288835
655090.6,5288698
675136.3,5295289
675264.2,5295221
675356.3,5295194
676180.9,5296286
676306.8,5296177
676167.9,5296066
676162.8,5295663
676047.6,5295539
676213.1,5295569
675847.6,5295357
675644.4,5295253
675476.8,5295052
656855.9,5273184
656638.9,5273330
656486.3,5273453
656235.9,5273443
656051.2,5273366
